season,team_id,team_name,player_id,Name,position_code,POS,G,GS,GO,airOuts,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,ERA,IP,W,L,SV,SVOpp,HLD,BS,ER,WHIP,BF,Outs,GPitched,CG,SHO,Str,Str%,HBP.1,BK,WP,pickOffs,TB,GO/FO,W%,P/IP,GF,K/BB,K/9,BB/9,H/9,R/9,HR/9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,SF,team,QS,IP_corrected,1B,BABIP
2024,562.0,Sultanes de Monterrey,546276,Edwin Escobar,1,RP,4,0,3,4.0,3,2,0,0,5,2,0,4,0,0.267,15,0.333,0.4,0.7330000000000001,0,0,,0,67,6.75,4.0,0,0,0,0,0,0,3,1.5,18,12,4.0,0,0.0,41,0.6119402985074627,0.0,0,0,0.0,6,0.75,,16.75,1.0,2.5,11.25,4.5,9.0,6.75,0.0,0.0,0.0,0.0,0.0,1,MTY,0,4.0,2,0.364
2024,562.0,Sultanes de Monterrey,673258,Michel Baez,1,RP,7,0,4,7.0,6,0,0,1,5,4,0,5,1,0.25,20,0.385,0.4,0.785,1,2,66.7,1,113,7.5,6.0,1,0,0,0,1,0,5,1.5,26,18,7.0,0,0.0,64,0.5663716814159292,1.0,0,1,0.0,8,0.57,1.0,18.833333333333332,1.0,1.25,7.5,6.0,7.5,9.0,1.5,5.0,0.0,0.0,0.0,1,MTY,0,6.0,4,0.267
2024,562.0,Sultanes de Monterrey,700063,Alexis Vera,1,RP,14,0,12,12.0,16,4,0,1,18,10,0,21,1,0.339,62,0.438,0.452,0.89,0,1,100.0,1,269,8.217391304347826,15.1,2,0,0,0,0,0,14,2.0217391304347827,74,46,14.0,0,0.0,158,0.587360594795539,1.0,0,1,0.0,28,1.0,1.0,17.543478260869566,6.0,1.8,10.565217391304348,5.869565217391304,12.326086956521738,9.391304347826086,0.5869565217391304,8.0,2.0,0.0,1.0,0,MTY,0,15.333333333333334,16,0.465
2024,562.0,Sultanes de Monterrey,675880,Daniel De La Fuente,1,"SP, RP",5,1,9,11.0,10,3,0,4,7,5,0,12,0,0.308,39,0.386,0.692,1.0779999999999998,0,0,,0,190,10.0,9.0,0,0,0,0,0,0,10,1.8888888888888888,44,27,5.0,0,0.0,112,0.5894736842105263,0.0,1,2,0.0,27,0.82,,21.11111111111111,1.0,1.4,7.0,5.0,12.0,10.0,4.0,0.0,0.0,0.0,0.0,0,MTY,0,9.0,5,0.286
2024,562.0,Sultanes de Monterrey,676190,Carlos Morales,1,RP,6,0,5,8.0,14,3,0,2,8,3,0,16,0,0.444,36,0.487,0.694,1.181,0,1,100.0,0,148,13.5,6.2,0,0,0,0,0,0,10,2.85,40,20,6.0,0,0.0,96,0.6486486486486487,0.0,0,0,0.0,25,0.63,,22.2,1.0,2.6666666666666665,10.799999999999999,4.05,21.599999999999998,18.9,2.6999999999999997,3.0,2.0,0.0,1.0,0,MTY,0,6.666666666666667,11,0.538
2024,562.0,Sultanes de Monterrey,824049,Alonso Becerra,1,RP,1,0,1,0.0,4,1,0,1,0,2,0,2,0,0.667,3,0.8,2.0,2.8,0,0,,0,18,108.0,0.1,0,0,0,0,0,0,4,12.0,5,1,1.0,0,0.0,8,0.4444444444444444,0.0,0,0,0.0,6,1.0,,54.0,0.0,0.0,0.0,54.0,54.0,108.0,27.0,0.0,0.0,0.0,0.0,0,MTY,0,0.3333333333333333,0,0.5
2024,434.0,Bravos de Leon,653414,Luis Medina,6,SS,1,0,1,2.0,0,0,0,0,0,1,0,1,0,0.25,4,0.4,0.25,0.65,0,0,,0,19,0.0,1.0,0,0,0,0,0,0,0,2.0,5,3,1.0,0,0.0,12,0.631578947368421,0.0,0,0,0.0,1,0.5,,19.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LEO,0,1.0,1,0.25
2024,434.0,Bravos de Leon,690909,Daniel Cruz,1,RP,34,0,46,40.0,13,4,1,1,22,12,1,24,3,0.19,126,0.269,0.262,0.531,1,0,0.0,2,531,2.9724770642201834,36.1,1,1,5,7,4,2,12,0.9908256880733944,147,109,34.0,0,0.0,336,0.632768361581921,3.0,1,0,0.0,33,1.15,0.5,14.614678899082568,11.0,1.8333333333333333,5.4495412844036695,2.9724770642201834,5.944954128440367,3.2201834862385317,0.2477064220183486,27.0,11.0,0.0,2.0,4,LEO,0,36.333333333333336,18,0.215
2024,434.0,Bravos de Leon,670138,Max Kuhns,1,"SP, RP",41,1,39,24.0,24,8,0,2,51,22,1,47,1,0.296,159,0.385,0.384,0.769,0,4,100.0,2,773,4.846153846153846,39.0,1,2,0,4,9,4,21,1.7692307692307692,184,117,41.0,0,0.0,462,0.5976714100905562,1.0,0,6,0.0,61,1.63,0.333,19.82051282051282,8.0,2.3181818181818183,11.76923076923077,5.076923076923077,10.846153846153847,5.538461538461538,0.46153846153846156,21.0,10.0,0.0,2.0,0,LEO,0,39.0,37,0.425
2024,434.0,Bravos de Leon,690158,Juan Mateo,1,RP,46,0,59,43.0,37,10,0,5,63,36,3,55,2,0.256,215,0.365,0.372,0.737,0,13,100.0,4,1036,5.335329341317365,55.2,4,4,0,4,7,4,33,1.6347305389221558,258,167,46.0,0,0.0,626,0.6042471042471043,2.0,0,5,0.0,80,1.37,0.5,18.610778443113773,6.0,1.75,10.18562874251497,5.820359281437126,8.892215568862277,5.982035928143713,0.8083832335329342,32.0,14.0,0.0,3.0,2,LEO,0,55.666666666666664,40,0.336
2024,434.0,Bravos de Leon,820866,Javier Mirabal,1,RP,11,0,15,16.0,10,2,0,2,13,12,0,11,2,0.204,54,0.368,0.352,0.72,0,2,100.0,0,295,6.27906976744186,14.1,0,0,0,0,1,0,10,1.6046511627906976,69,43,11.0,0,0.0,170,0.576271186440678,2.0,1,2,0.0,19,0.94,,20.58139534883721,3.0,1.0833333333333333,8.162790697674419,7.534883720930233,6.906976744186046,6.27906976744186,1.255813953488372,4.0,0.0,0.0,1.0,0,LEO,0,14.333333333333334,7,0.231
2024,434.0,Bravos de Leon,806112,Kevin Davis,1,RP,37,0,33,35.0,33,7,0,7,46,29,1,54,1,0.329,164,0.431,0.5,0.931,3,3,50.0,3,848,6.525,40.0,4,2,0,2,6,2,29,2.075,198,120,37.0,0,0.0,507,0.597877358490566,1.0,1,5,0.0,82,0.94,0.667,21.2,10.0,1.5862068965517242,10.35,6.525,12.15,7.425,1.575,35.0,19.0,0.0,3.0,1,LEO,0,40.0,40,0.42
2024,434.0,Bravos de Leon,500279,Jonathan Vargas,1,"SP, RP",23,1,35,17.0,21,6,1,4,16,4,1,32,0,0.323,99,0.35,0.525,0.875,1,1,50.0,5,391,6.845070422535211,23.2,1,1,0,0,4,0,18,1.5211267605633803,104,71,23.0,0,0.0,259,0.6624040920716112,0.0,0,1,0.0,52,2.06,0.5,16.52112676056338,3.0,4.0,6.084507042253521,1.5211267605633803,12.169014084507042,7.985915492957746,1.5211267605633803,13.0,6.0,0.0,1.0,0,LEO,0,23.666666666666668,21,0.354
2024,434.0,Bravos de Leon,685478,Yordan Nodal,1,"SP, RP",19,10,70,45.0,45,15,0,4,41,32,0,66,3,0.308,214,0.399,0.435,0.8340000000000001,1,7,87.5,4,980,6.967741935483871,51.2,1,3,0,0,1,0,40,1.8967741935483873,257,155,19.0,0,0.0,600,0.6122448979591837,3.0,1,5,1.0,93,1.56,0.25,18.967741935483872,1.0,1.28125,7.141935483870968,5.574193548387097,11.496774193548388,7.838709677419355,0.6967741935483871,9.0,4.0,0.0,4.0,4,LEO,0,51.666666666666664,47,0.358
2024,434.0,Bravos de Leon,660674,Alberto Guerrero,1,RP,30,0,52,38.0,36,11,1,5,30,22,1,60,1,0.343,175,0.413,0.503,0.9159999999999999,2,2,50.0,8,767,7.171875,42.2,2,2,0,1,2,1,34,1.921875,203,128,30.0,0,0.0,460,0.5997392438070405,1.0,1,4,0.0,88,1.37,0.5,17.9765625,1.0,1.3636363636363635,6.328125,4.640625,12.65625,7.59375,1.0546875,31.0,21.0,0.0,2.0,3,LEO,0,42.666666666666664,43,0.385
2024,434.0,Bravos de Leon,663453,Hazahel Quijada,1,"SP, RP",25,7,60,25.0,36,4,1,8,38,37,0,51,4,0.295,173,0.428,0.468,0.896,2,5,71.4,6,907,7.363636363636363,44.0,1,3,0,0,3,0,36,2.0,215,132,25.0,0,0.0,513,0.565600882028666,4.0,0,9,0.0,81,2.4,0.25,20.613636363636363,0.0,1.027027027027027,7.7727272727272725,7.568181818181818,10.431818181818182,7.363636363636363,1.6363636363636365,15.0,9.0,0.0,0.0,1,LEO,0,44.0,38,0.336
2024,434.0,Bravos de Leon,642007,Arturo Reyes,1,SP,12,12,41,38.0,34,8,0,4,27,31,0,41,3,0.287,143,0.417,0.427,0.844,1,7,87.5,5,692,7.363636363636364,36.2,2,5,0,0,0,0,30,1.9636363636363638,181,110,12.0,0,0.0,376,0.5433526011560693,3.0,1,6,0.0,61,1.08,0.286,18.872727272727275,0.0,0.8709677419354839,6.627272727272728,7.609090909090909,10.063636363636364,8.345454545454546,0.9818181818181819,0.0,0.0,0.0,1.0,3,LEO,0,36.666666666666664,29,0.322
