season,team_id,team_name,player_id,Name,POS,G,GO,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,PA,TB,RBI,LOB,sacBunts,SF,BABIP,GO/FO,AB/HR,team,1B
2024,496.0,Leones de Yucatan,593590,Webster Rivas,C,68,40,28,14,0,7,53,27,2,62,1,0.281,221,0.36,0.439,0.799,1,0,0.0,6,996,250,97,32,91,0,1,0.34,0.6,31.57,YUC,
2024,496.0,Leones de Yucatan,803376,Angel Camacho,X,50,16,17,3,2,0,10,3,0,14,1,0.264,53,0.31,0.396,0.706,0,1,100.0,0,225,58,21,8,28,0,1,0.318,1.14,,YUC,
2024,496.0,Leones de Yucatan,672953,Gilberto Vizcarra,C,25,9,3,1,0,0,4,6,0,7,2,0.241,29,0.395,0.276,0.671,0,0,,0,161,38,8,3,13,0,1,0.269,0.9,,YUC,
2024,496.0,Leones de Yucatan,671246,Fabricio Macias,CF,56,64,18,7,1,2,40,10,0,42,2,0.24,175,0.286,0.326,0.612,1,0,0.0,7,700,191,57,18,85,2,2,0.296,1.94,87.5,YUC,
2024,496.0,Leones de Yucatan,658069,Joshua Fuentes,3B,67,58,27,7,2,3,60,12,0,51,4,0.208,245,0.255,0.29,0.545,1,1,50.0,7,943,264,71,19,130,1,2,0.261,0.73,81.67,YUC,
2024,496.0,Leones de Yucatan,516679,Sebastian Valle,C,13,5,4,2,0,2,15,3,0,7,0,0.189,37,0.25,0.405,0.655,0,0,,1,159,40,15,6,24,0,0,0.25,0.5,18.5,YUC,
2024,496.0,Leones de Yucatan,503429,Walter Ibarra,2B,15,10,5,1,0,0,8,1,0,6,0,0.188,32,0.212,0.219,0.431,0,0,,1,113,34,7,0,19,1,0,0.25,1.11,,YUC,
2024,496.0,Leones de Yucatan,666452,Eduardo Diaz,RF,9,1,5,0,0,4,12,1,0,6,0,0.167,36,0.189,0.5,0.689,0,0,,0,155,37,18,7,22,0,0,0.1,0.06,9.0,YUC,
2024,496.0,Leones de Yucatan,665883,Yeison Coca,X,45,40,5,1,1,1,28,2,0,13,0,0.144,90,0.163,0.211,0.374,1,3,75.0,2,307,96,19,5,47,4,0,0.197,3.08,90.0,YUC,
2024,496.0,Leones de Yucatan,499926,Alex Liddi,1B,11,3,2,1,0,0,9,5,0,1,0,0.056,18,0.261,0.111,0.372,0,1,100.0,0,100,23,2,2,11,0,0,0.111,0.6,,YUC,
