season,team_id,team_name,player_id,Name,position_code,POS,PA,TB,LOB,sacBunts,SF,BABIP,XBH,HBP,gidp,gidpOpp,numP,P/PA,BB%,K%,HR/PA,BB/K,ISO,ROE,walkOffs,FO,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,HR,K,BB,AB,H,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%
2024,523.0,Piratas de Campeche,500135,Ronny Rodríguez,4,2B,50,12.0,24.0,0.0,0,0.2,3.0,1.0,1.0,7.0,208,4.16,6.0,30.0,0.02,0.2,0.109,0.0,0.0,10,104,29,31,5,1,8,3,0,2,2,CAM,1,15,3,46,7,7.7,13.9,27.9,41.9,32.3,9.7,16.1,0.24
2024,523.0,Piratas de Campeche,823941,Isboseth Morales,8,CF,7,1.0,1.0,0.0,0,0.2,0.0,0.0,0.0,1.0,20,2.857,0.0,28.6,0.0,,0.0,0.0,0.0,2,9,3,5,0,0,2,0,0,0,1,CAM,0,2,0,7,1,0.0,15.0,33.3,40.0,60.0,0.0,0.0,0.286
2024,523.0,Piratas de Campeche,665651,Diego Rincones,7,LF,18,1.0,9.0,0.0,0,0.091,0.0,0.0,1.0,2.0,83,4.611,27.8,11.1,0.0,2.5,0.0,1.0,0.0,3,34,1,11,2,0,5,1,0,0,0,CAM,0,2,5,13,1,0.0,1.2,2.9,36.4,45.5,0.0,18.2,-0.16700000000000004
2024,523.0,Piratas de Campeche,828459,Eduardo Arredono Jr.,4,2B,7,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,17,2.429,0.0,28.6,0.0,,0.0,0.0,0.0,3,11,3,5,0,1,1,0,0,0,0,CAM,0,2,0,7,0,0.0,17.6,27.3,60.0,20.0,20.0,0.0,0.286
2024,523.0,Piratas de Campeche,828332,Jesus Higuera,10,DH,6,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,20,3.333,0.0,50.0,0.0,,0.0,0.0,0.0,1,10,5,3,1,0,1,0,0,0,0,CAM,0,3,0,6,0,0.0,25.0,50.0,33.3,33.3,0.0,33.3,0.5
2024,528.0,Rieleros de Aguascalientes,541600,Wilfredo Tovar,6,SS,395,174.0,115.0,2.0,0,0.39,28.0,4.0,13.0,57.0,1450,3.671,9.9,7.1,0.018,1.393,0.126,10.0,0.0,52,592,76,324,19,22,101,23,0,60,47,AGS,7,28,39,350,130,9.3,5.2,12.8,23.1,45.7,25.3,5.9,-0.02800000000000001
2024,528.0,Rieleros de Aguascalientes,547375,Sergio Perez,X,X,57,25.0,27.0,0.0,0,0.462,4.0,1.0,5.0,15.0,213,3.737,7.0,21.1,0.018,0.333,0.115,0.0,0.0,4,118,38,40,1,2,14,5,0,7,7,AGS,1,12,4,52,19,11.1,17.8,32.2,22.5,52.5,22.5,2.5,0.141
2024,528.0,Rieleros de Aguascalientes,665940,Moisés Castillo,X,X,25,15.0,9.0,0.0,0,0.429,3.0,0.0,0.0,2.0,98,3.92,12.0,24.0,0.08,0.5,0.318,0.0,0.0,5,38,9,16,1,2,0,5,0,3,0,AGS,2,6,3,22,8,20.0,9.2,23.7,62.5,0.0,31.2,6.2,0.12
2024,528.0,Rieleros de Aguascalientes,674496,Daniel Cornejo,9,RF,165,74.0,65.0,1.0,3,0.443,15.0,1.0,7.0,35.0,607,3.679,6.1,21.8,0.012,0.278,0.14,0.0,1.0,21,284,67,118,5,6,33,13,0,24,16,AGS,2,36,10,150,53,5.9,11.0,23.6,28.8,41.5,25.4,4.2,0.157
2024,528.0,Rieleros de Aguascalientes,622580,Angel Reyes,8,CF,371,192.0,147.0,0.0,4,0.378,41.0,1.0,10.0,56.0,1457,3.927,10.5,17.0,0.051,0.619,0.242,5.0,1.0,46,712,191,268,12,16,81,24,0,49,40,AGS,19,63,39,327,113,27.1,13.1,26.8,26.1,45.1,24.3,4.5,0.06500000000000002
